fund_name,fund_known_activist,activist_label,issuer_name,ticker,sector,regime,entry_date,entry_filing_id,entry_holding_pct,entry_price,entry_mktcap,filing_purpose_text,purpose_flags,important_proposal_text,direction,ambiguous_flag,control_flag,going_private_flag,going_private_kw,source_url,submit_datetime,shares_held,outstanding_shares,indiv_corp,doc_title,filer_edinet,entry_pbr,entry_equity_ratio,entry_net_cash_ratio,entry_roe,stable_holder_pct,proposal_made,proposal_type,agm_result,company_response,exit_date,exit_filing_id,exit_price,holding_months,entry_to_exit_return,trap_label,exit_reason,notes
ピルグリム・パートナーズ・アジア・ピーティーイー・エルティーディー（Pilgrim Partners Asia (Pte.) Ltd.）,True,Pilgrim/NipponValueInvestors,株式会社日本動物高度医療センター,6039,N/A,post2023,2026-01-23,S100XIIS,7.89,N/A,N/A,純投資。但し、投資先企業との対話の一環として、金融商品取引法等に定める重要提案行為が含まれることがある。,,投資先企業との対話の一環として、金融商品取引法等に定める重要提案行為が含まれることがある。,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100XIIS?type=2,2026-01-30 15:40,1134900,14391000,法人（外国会社）,変更報告書No.13,E37067,,,,,,,,,,,,,,,,,
オールド・ピーク・グループ・リミテッド(Old Peak Group Ltd.),False,,ビリングシステム株式会社,3623,N/A,post2023,2026-01-20,S100XH64,5.06,N/A,N/A,長期投資並びに株主価値の向上及び保全のため重要提案行為等を行うことがある。,,株主価値の向上及び保全のため重要提案行為等を行うことがある。,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100XH64?type=2,2026-01-27 09:38,331900,6564400,法人（外国会社）,変更報告書 No.5,E34245,,,,,,,,,,,,,,,,,
"ブランデス・インベストメント・パートナーズ・エル・ピー(Brandes Investment Partners, L.P.)",False,,株式会社小森コーポレーション,6349,N/A,post2023,2026-01-19,S100XH76,9.03,N/A,N/A,提出者は、長期的投資者として、状況に応じて発行者を含む投資対象会社と、企業統治、重要な戦略上の決断、及び資本政策について話し合いをしたり、アイデアの提供を行ったりする可能性がある。最終的な目的は株主としての利益享受の増進のため発行者と協働することにある。提出者は、最終手段として、金融商品取引法施行令第14条の8の2第1項に定める重要提案行為等を発行者に対して正式に行うことを検討する可能性がある。,,状況に応じて重要提案行為等を行う予定である。,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100XH76?type=2,2026-01-23 12:48,4831400,53478840,法人（海外パートナーシップ）,変更報告書 No.17,E06133,,,,,,,,,,,,,,,,,
ひびき・パース・アドバイザーズ(Hibiki Path Advisors Pte. Ltd.),True,Hibiki Path Advisors,玉井商船株式会社,9127,N/A,post2023,2026-01-15,S100XGHJ,0.0,N/A,N/A,純投資（投資一任契約に係る顧客資産の運用）及び状況に応じて経営陣への助言、重要提案行為等を行うこと。,,状況に応じて重要提案行為等を行うこと。,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100XGHJ?type=2,2026-01-22 15:34,0,1932000,法人（外国会社）,変更報告書No.4,E34566,,,,,,,,,,,,,,,,,
"いちごアセットマネジメント・インターナショナル・ピーティーイー・リミテッド（Ichigo Asset Management International, Pte. Ltd.）",True,Ichigo Asset,株式会社荏原製作所,6361,N/A,post2023,2026-01-14,S100XG7M,0.0,N/A,N/A,純投資。提出者１は、投資先企業との信頼関係構築と建設的な対話（エンゲージメント）に注力する日本株投資に特化した独立系資産運用会社であり、全てのステークホルダーに資する投資先企業の中長期的成長と企業価値向上の支援を投資理念としている。なお、対話の一環として、金融商品取引法等に定める重要提案行為等が含まれる場合もある。,,対話（エンゲージメント）の一環として金融商品取引法等に定める重要提案行為等が含まれる場合もある。,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100XG7M?type=2,2026-01-21 15:46,0,462195185,法人（外国法人）,変更報告書 9,E11469,,,,,,,,,,,,,,,,,
オービス・インベストメント・マネジメント・リミテッド（Orbis Investment Management Limited）,False,,株式会社ツルハホールディングス,3391,N/A,post2023,2025-12-01,S100XEP2,0.04,N/A,N/A,純投資及び状況に応じて重要提案行為等を行うこと。,,状況に応じて重要提案行為等を行う予定である。,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100XEP2?type=2,2026-01-13 10:16,184490,454136490,法人（外国法人）,変更報告書No.8,E09662,,,,,,,,,,,,,,,,,
ピルグリム・パートナーズ・アジア・ピーティーイー・エルティーディー（Pilgrim Partners Asia (Pte.) Ltd.）,True,Pilgrim/NipponValueInvestors,株式会社日本動物高度医療センター,6039,N/A,post2023,2025-09-24,S100WSOS,13.34,N/A,N/A,純投資。但し、投資先企業との対話の一環として、金融商品取引法等に定める重要提案行為が含まれることがある。,,投資先企業との対話の一環として、金融商品取引法等に定める重要提案行為が含まれることがある。,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WSOS?type=2,2025-10-01 15:45,383900,2878200,法人（外国会社）,変更報告書No.9,E37067,,,,,,,,,,,,,,,,,
株式会社ヴァレックス・パートナーズ,True,Valex Partners,株式会社ベルテクスコーポレーション,5290,N/A,post2023,2025-09-19,S100WQCX,12.22,N/A,N/A,純投資（投資一任契約その他契約に係る顧客の資産運用）及び状況に応じて重要提案行為等を行うこと,,状況に応じて重要提案行為等を行う可能性がある,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WQCX?type=2,2025-09-29 15:32,7050500,57706700,法人（株式会社）,変更報告書　No.5,E35873,,,,,,,,,,,,,,,,,
"いちごアセットマネジメント・インターナショナル・ピーティーイー・リミテッド（Ichigo Asset Management International, Pte. Ltd.）",True,Ichigo Asset,株式会社荏原製作所,6361,N/A,post2023,2025-09-16,S100WQKM,0.0,N/A,N/A,純投資。提出者１は、投資先企業との信頼関係構築と建設的な対話（エンゲージメント）に注力する日本株投資に特化した独立系資産運用会社であり、全てのステークホルダーに資する投資先企業の中長期的成長と企業価値向上の支援を投資理念としている。なお、対話の一環として、金融商品取引法等に定める重要提案行為等が含まれる場合もある。,,対話（エンゲージメント）の一環として金融商品取引法等に定める重要提案行為等が含まれる場合もある。,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WQKM?type=2,2025-09-24 15:43,0,462190185,法人（外国法人）,変更報告書 7,E11469,,,,,,,,,,,,,,,,,
"ブランデス・インベストメント・パートナーズ・エル・ピー(Brandes Investment Partners, L.P.)",False,,株式会社小森コーポレーション,6349,N/A,post2023,2025-09-09,S100WOY0,11.16,N/A,N/A,提出者は、長期的投資者として、状況に応じて発行者を含む投資対象会社と、企業統治、重要な戦略上の決断、及び資本政策について話し合いをしたり、アイデアの提供を行ったりする可能性がある。最終的な目的は株主としての利益享受の増進のため発行者と協働することにある。提出者は、最終手段として、金融商品取引法施行令第14条の8の2第1項に定める重要提案行為等を発行者に対して正式に行うことを検討する可能性がある。,,状況に応じて重要提案行為等を行う予定である。,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WOY0?type=2,2025-09-16 13:00,5969500,53478840,法人（海外パートナーシップ）,変更報告書 No.15,E06133,,,,,,,,,,,,,,,,,
Be Brave株式会社   代表取締役　泉田和人,False,,西川ゴム工業株式会社,5161,N/A,post2023,2025-09-09,S100WNY5,1.13,N/A,N/A,純投資及び状況に応じて重要提案行為等を行うこと,,重要提案行為等を行う可能性があること,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WNY5?type=2,2025-09-12 15:30,453500,39990774,法人（株式会社）,変更報告書№1,E37710,,,,,,,,,,,,,,,,,
タイヨウ・パシフィック・パートナーズ・エルピー(Taiyo Pacific Partners L.P.),True,Taiyo,株式会社ラクーンホールディングス,3031,N/A,post2023,2025-09-04,S100WO7Q,0.0,N/A,N/A,純投資及び状況に応じて経営陣への助言、重要提案行為等を行うこと。,,重要提案行為等を行う可能性がある。,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WO7Q?type=2,2025-09-11 16:11,0,22258943,法人（アメリカ合衆国デラウェア州法に基づくリミテッド・パートナーシップ）,変更報告書No. 20,E37410,,,,,,,,,,,,,,,,,
アセット・バリュー・インベスターズ・リミテッド (Asset Value Investors Limited),True,AVI/AssetValueInvestors,倉敷紡績株式会社,3106,N/A,post2023,2025-09-01,S100WMYU,4.0,N/A,N/A,純投資及び重要提案行為等を行うこと,,持続的な企業価値の向上に向けた重要提案行為等を行う可能性がある,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WMYU?type=2,2025-09-08 15:34,720156,18000000,法人（外国会社）,変更報告書（1）,E34595,,,,,,,,,,,,,,,,,
シンフォニー・フィナンシャル・パートナーズ（シンガポール）ピーティーイー・リミテッド（Symphony Financial Partners (Singapore) Pte. Ltd.）,True,Symphony Financial,株式会社インフォマート,2492,N/A,post2023,2025-08-28,S100WM2W,22.95,N/A,N/A,純投資及び状況に応じて重要提案行為を行うこともありうる,,状況に応じて重要提案行為を行うこともありうる,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WM2W?type=2,2025-09-04 15:41,59535600,259431200,法人（外国法人）,変更報告書No.15,E30522,,,,,,,,,,,,,,,,,
株式会社ヴァレックス・パートナーズ,True,Valex Partners,株式会社マーキュリアホールディングス,7347,N/A,post2023,2025-08-25,S100WM06,10.05,N/A,N/A,純投資（投資一任契約その他契約に係る顧客の資産運用）及び状況に応じて重要提案行為等を行うこと,,状況に応じて重要提案行為等を行う可能性がある,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WM06?type=2,2025-09-01 15:43,2166000,21549900,法人（株式会社）,変更報告書　No.6,E35873,,,,,,,,,,,,,,,,,
株式会社ヴァレックス・パートナーズ,True,Valex Partners,株式会社帝国電機製作所,6333,N/A,post2023,2025-08-18,S100WK5H,17.45,N/A,N/A,純投資（投資一任契約その他契約に係る顧客の資産運用）及び状況に応じて重要提案行為等を行うこと,,状況に応じて重要提案行為等を行う可能性がある,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WK5H?type=2,2025-08-25 15:32,2946300,16880038,法人（株式会社）,変更報告書　No.7,E35873,,,,,,,,,,,,,,,,,
