fund_name,fund_known_activist,activist_label,issuer_name,ticker,sector,regime,entry_date,entry_filing_id,entry_holding_pct,entry_price,entry_mktcap,filing_purpose_text,purpose_flags,important_proposal_text,direction,ambiguous_flag,control_flag,going_private_flag,going_private_kw,source_url,submit_datetime,shares_held,outstanding_shares,indiv_corp,doc_title,filer_edinet,entry_pbr,entry_equity_ratio,entry_net_cash_ratio,entry_roe,stable_holder_pct,proposal_made,proposal_type,agm_result,company_response,exit_date,exit_filing_id,exit_price,holding_months,entry_to_exit_return,trap_label,exit_reason,notes
カナメ・キャピタル・エルピー（Ｋａｎａｍｅ　Ｃａｐｉｔａｌ，Ｌ．Ｐ．）,True,Kaname Capital,ダイハツディーゼル株式会社,6023,N/A,post2023,2023-12-15,S100SIZ0,7.0,N/A,N/A,純投資及び状況に応じて重要提案行為等を行うこと。,,エンゲージメントの一環として、重要提案行為等を行う場合がある。,increase,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SIZ0?type=2,2023-12-22 15:55,2231400,31850000,外国法人,変更報告書Ｎｏ．２,E37907,,,,,,,,,,,,,,,,,
カナメ・キャピタル・エルピー（Ｋａｎａｍｅ　Ｃａｐｉｔａｌ，Ｌ．Ｐ．）,True,Kaname Capital,フロイント産業株式会社,6312,N/A,post2023,2023-12-13,S100SHZF,6.03,N/A,N/A,純投資及び状況に応じて重要提案行為等を行うこと。,,エンゲージメントの一環として、重要提案行為等を行う場合がある。,increase,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SHZF?type=2,2023-12-20 12:06,1109500,18400000,外国法人,変更報告書Ｎｏ．１,E37907,,,,,,,,,,,,,,,,,
"いちごアセットマネジメント・インターナショナル・ピーティーイー・リミテッド（Ichigo Asset Management International, Pte. Ltd.）",True,Ichigo Asset,株式会社オープンハウスグループ,3288,N/A,post2023,2023-12-13,S100SH8T,0.0,N/A,N/A,純投資。提出者１は、投資先企業との信頼関係構築と建設的な対話（エンゲージメント）に注力する日本株投資に特化した独立系資産運用会社であり、全てのステークホルダーに資する投資先企業の中長期的成長と企業価値向上の支援を投資理念としている。なお、対話の一環として、金融商品取引法等に定める重要提案行為等が含まれる場合もある。,,対話（エンゲージメント）の一環として金融商品取引法等に定める重要提案行為等が含まれる場合もある。,increase,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SH8T?type=2,2023-12-20 15:01,0,120588100,法人（外国法人）,変更報告書4,E11469,,,,,,,,,,,,,,,,,
3Dインベストメント・パートナーズ・プライベート・リミティッド（3D Investment Partners Pte. Ltd.）,True,3D Investment,サッポロホールディングス株式会社,2501,N/A,post2023,2023-12-12,S100SHSG,13.82,N/A,N/A,純投資及び状況に応じて、経営陣への助言、重要提案行為を行うこと。,,重要提案行為等を行う可能性がある。,increase,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SHSG?type=2,2023-12-19 16:00,10891500,78794298,法人（外国法人）,変更報告書No.8,E33309,,,,,,,,,,,,,,,,,
"グランサム、マヨ、ヴァン　オッテルロー　アンド　カンパニー　エルエルシー(Grantham, Mayo, Van Otterloo &amp; Co. LLC)",False,,株式会社マンダム,4917,N/A,post2023,2023-12-11,S100SGR8,3.84,N/A,N/A,純投資及び状況に応じて重要提案行為等を行うこともありうる。,,状況に応じて重要提案行為等を行うこともありうる。,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SGR8?type=2,2023-12-18 11:48,1852600,48269212,法人（外国会社）,変更報告書No.1,E35943,,,,,,,,,,,,,,,,,
株式会社三菱ＵＦＪ銀行,False,,大末建設株式会社,1814,N/A,post2023,2023-12-11,S100SGGG,3.65,N/A,N/A,政策投資、重要提案行為等を行うこと,,重要提案行為等を行うことがあります,change,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SGGG?type=2,2023-12-18 13:48,387661,10614225,法人（株式会社）,変更報告書No.9,E03606,,,,,,,,,,,,,,,,,
"グランサム、マヨ、ヴァン　オッテルロー　アンド　カンパニー　エルエルシー(Grantham, Mayo, Van Otterloo &amp; Co. LLC)",False,,株式会社マクロミル,3978,N/A,post2023,2023-12-08,S100SGHY,10.1,N/A,N/A,純投資及び状況に応じて重要提案行為等を行うこともありうる。,,状況に応じて重要提案行為等を行うこともありうる。,increase,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SGHY?type=2,2023-12-15 09:25,4090000,40480500,法人（外国会社）,変更報告書No.5,E35943,,,,,,,,,,,,,,,,,
3Dインベストメント・パートナーズ・プライベート・リミティッド（3D Investment Partners Pte. Ltd.）,True,3D Investment,サッポロホールディングス株式会社,2501,N/A,post2023,2023-12-06,S100SGKA,12.78,N/A,N/A,純投資及び状況に応じて、経営陣への助言、重要提案行為を行うこと。,,重要提案行為等を行う可能性がある。,increase,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SGKA?type=2,2023-12-13 16:00,10071500,78794298,法人（外国法人）,変更報告書No.7,E33309,,,,,,,,,,,,,,,,,
山田　亨,False,,株式会社　海帆,3133,N/A,post2023,2023-12-11,S100SG16,10.83,N/A,N/A,重要提案行為及び貸株レンディング市場への株券の流出の防止,,主要株主による重要提案,change,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SG16?type=2,2023-12-12 14:39,5242500,48378900,個人,変更報告書,E33490,,,,,,,,,,,,,,,,,
ニッポン・アクティブ・バリュー・ファンド（NIPPON ACTIVE VALUE FUND PLC）,True,Dalton/NipponActiveValue,株式会社フジ・メディア・ホールディングス,4676,N/A,post2023,2023-12-05,S100SFS2,0.85,N/A,N/A,投資及び経営陣に対する経営の助言並びに状況に応じて重要提案行為等を行うこと。特に、ニッポン・アクティブ・バリュー・ファンドは、発行会社の財務的健全性及び市場での地位が株価に反映されていないと考えており、全ての株主のために株式価値を高めるための方法を話し合うことを目的とし、発行会社の経営陣に対して対話を要求する場合がある。,増配|自社株|取締役選任,状況に応じ、①潜在的な利益相反回避のため、より一層透明性の高い管理体制を求め、一般の少数株主等の意見を尊重する独立取締役の選任を求めるなどの役員構成の変更、②株式価値向上のための増配など配当方針の変更、自社株買いなど資本政策への変更、③その他提出者が発行者の株主価値向上につながると考えるあらゆる合理的な措置、に関する重要提案行為等を行う可能性がある。,new,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SFS2?type=2,2023-12-12 15:07,2000000,234194500,法人,大量保有報告書,E36104,,,,,,,,,,,,,,,,,
シンフォニー・フィナンシャル・パートナーズ（シンガポール）ピーティーイー・リミテッド（Symphony Financial Partners (Singapore) Pte. Ltd.）,True,Symphony Financial,ニチレキ株式会社,5011,N/A,post2023,2023-12-05,S100SFMX,10.48,N/A,N/A,純投資及び状況に応じて重要提案行為を行うこともありうる,,状況に応じて重要提案行為を行うこともありうる,increase,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SFMX?type=2,2023-12-12 15:16,3321200,31685955,法人（外国法人）,変更報告書No.4,E30522,,,,,,,,,,,,,,,,,
ダルトン・インベストメンツ・エルエルシー(Dalton Investments LLC),True,Dalton/NipponActiveValue,ポールトゥウィンホールディングス株式会社,3657,N/A,post2023,2023-12-04,S100SFRI,4.43,N/A,N/A,提出者は、発行者の株価が過小評価されており魅力的な投資機会であると考えて、発行者の株式を取得し長期的に保有する。提出者は、発行者の財務状況、戦略的決定、取締役会の決定、株価水準、他の投資機会、投資ポートフォリオの集中と分散に関する内部ガイドライン、株式市場の状況、全般的な経済・産業動向などの様々な状況に応じて、発行者の株式や関連金融商品の追加取得、若しくはその全部または一部の売却、その他提出者が適切と考えるあらゆる措置を採る可能性がある。更に提出者は、過小評価されていると提出者が考える発行者の株価および株主価値の向上のため、発行者、その役員・取締役、他の株主等との間で、発行者のコーポレートガバナンス、取締役会の構成、経営、事業、財務状況及び戦略に関して、建設的な対話を行うことを求めていく可能性がある。,増配|自社株|取締役選任,状況に応じ、①潜在的な利益相反回避のため、より一層透明性の高い管理体制を求め、一般の少数株主等の意見を尊重する独立取締役の選任を求めるなどの役員構成の変更、②株式価値向上のための増配など配当方針の変更、自社株買いなど資本政策への変更、③その他提出者が発行者の株主価値向上につながると考えるあらゆる合理的な措置、に関する重要提案行為等を行う可能性がある。,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SFRI?type=2,2023-12-11 16:11,1690200,38156000,法人（外国会社）,変更報告書No.5,E08827,,,,,,,,,,,,,,,,,
